	AKT	BAD	EGFR	HER2	IGF1R	KRASG12V	KRASQ61H	RAF1	phenotype	Type	Siglust	PAM50
TCGA-A1-A0SD-01A-11R-A115-07	-0.269644338314792	-1.0392755717678	0.927458049030696	-0.0088419439661427	0.735151525646695	-0.0410469461380307	-0.150142766075219	0.732100617284957	AKT Phenotype	tumor	-9	LumA
TCGA-A1-A0SE-01A-11R-A084-07	0.195685427952594	-0.229100369009168	1.07007762269303	1.4934478926955	0.426786948859423	-0.411710709977146	-0.268931773459226	-0.0799730139194587	AKT Phenotype	tumor	-5	LumA
TCGA-A1-A0SH-01A-11R-A084-07	0.668118101478154	-1.34915728683234	0.500333108533735	1.31058581235878	0.126460365145775	-0.236276906654221	-0.336929416037052	0.510201923588631	AKT Phenotype	tumor	-5	LumA
TCGA-A1-A0SJ-01A-11R-A084-07	0.897694990167726	-0.125586982644111	0.727175280838143	1.62211646522981	0.718718515526629	-0.405053866876694	-0.467890123773416	0.031078995061161	AKT Phenotype	tumor	-3	LumA
TCGA-A1-A0SK-01A-12R-A084-07	0.271200810588529	1.90870641134104	-1.07518514595164	0.970594020267491	-1.27210527118296	0.658633509201311	1.05964691201666	-0.117435173425951	EGFR Phenotype	tumor	-13	Basal
TCGA-A1-A0SM-01A-11R-A084-07	0.102716741204845	-0.904024907364362	0.912068037785844	1.26381834771593	0.708223983981066	-0.383077995967453	-0.29079089093673	0.188222195503289	AKT Phenotype	tumor	-1	LumB
TCGA-A1-A0SO-01A-22R-A084-07	0.755440004394569	2.25230957713005	-1.10180876087839	1.37891417251589	-1.12384742031869	0.769566014996112	0.754167552325161	-0.827069679924814	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A04N-01A-11R-A115-07	0.47971033656284	-0.59885744590949	-0.0798887577893772	1.13750168690203	0.608345634726303	-0.917533543226096	-0.884109181523561	-0.156063527064247	AKT Phenotype	tumor	-5	LumA
TCGA-A2-A04P-01A-31R-A034-07	-1.75441687830135	1.35391854131287	-0.438681302974909	-0.81623205878262	-1.92315626807716	1.7256319947382	1.75606794774967	-0.237445299341269	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A04Q-01A-21R-A034-07	-1.54260295851734	0.974056926598306	0.373078117026515	-0.838984657288036	-1.69197759713117	1.05187612235644	1.17370526393015	1.0588596598787	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A04R-01A-41R-A109-07	0.81530957332651	0.142537609640355	-0.934213720770378	1.64677788312227	1.12062162109704	-1.15077193424919	-1.15675484813258	-1.26851267635939	AKT Phenotype	tumor	-10	LumB
TCGA-A2-A04T-01A-21R-A034-07	0.562299831104934	1.90124011049962	-0.509169093298633	0.0274552610666308	-1.97619410542342	1.33556645339772	1.64138041845202	0.500439857492984	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A04U-01A-11R-A115-07	0.795590799133818	2.1289736996311	-1.2192506052098	0.713542740765292	-2.02474491637599	1.64709067883576	1.5706421366634	-0.760846149366381	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A04V-01A-21R-A034-07	0.479482603912439	-0.288304282759871	-0.990896946087515	0.0733400163689637	0.502061498051652	-1.03308975528137	-1.09148167587883	-0.746511794653178	AKT Phenotype	tumor	0	LumA
TCGA-A2-A04W-01A-31R-A115-07	0.155613021249744	0.181866344658872	0.602974568791529	1.53991628177019	-0.565849603131582	0.647971342363999	0.697852197856123	-0.0926822092699964	EGFR Phenotype	tumor	-11	Her2
TCGA-A2-A04X-01A-21R-A034-07	1.10362407958117	0.236132939756447	-1.08206663339929	-1.05728144570132	0.401460045245714	-0.580487471411675	-0.672413518630755	-0.686409675848033	AKT Phenotype	tumor	-2	Her2
TCGA-A2-A04Y-01A-21R-A034-07	0.0936141057191758	0.207727497826449	-0.363449199185922	-1.2995361829679	0.651761525078352	-0.13200974896568	-0.156866433273412	-0.411693693725784	EGFR Phenotype	tumor	-2	LumA
TCGA-A2-A0CL-01A-11R-A115-07	-0.439106287596898	0.139568129751854	1.68052484539417	-1.33348606615628	-0.498912879457251	0.652484588789639	0.676326945939869	1.73879542053046	EGFR Phenotype	tumor	-2	Her2
TCGA-A2-A0CM-01A-31R-A034-07	-1.30655425759963	2.13554206285283	-0.024388564153161	-2.06692776218796	-1.95666658493825	1.94570878403182	1.95223899300387	1.42993201857907	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0CP-01A-11R-A034-07	-0.176615662284215	-0.790657155779314	0.587772557926667	-0.410811833460506	-0.299136474545409	-0.221029091703416	-0.226598853894358	-0.195824492397757	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0CQ-01A-21R-A034-07	0.0783376069823378	-0.724477504046452	-0.880721109654107	-1.00497638971117	0.711086388417083	-0.584691481750775	-0.597374947482201	-1.17025546517349	AKT Phenotype	tumor	-12	LumA
TCGA-A2-A0CS-01A-11R-A115-07	0.640053005049517	-0.589335517671155	-1.12741780002724	0.531951162561494	0.961883924159719	-1.01789133328822	-1.00667663602549	-0.938114527073788	AKT Phenotype	tumor	-12	LumA
TCGA-A2-A0CT-01A-31R-A056-07	0.655333006538496	0.371915734033098	-0.745635183483743	1.77036883948573	1.19031562348963	-0.162826343442592	-0.328316320540401	-0.840235270300919	AKT Phenotype	tumor	-10	LumB
TCGA-A2-A0CU-01A-12R-A034-07	0.638855407062263	-0.680266566658247	0.327029576518876	1.26230029795686	0.984889200639284	-0.763174368634111	-0.686247131899489	-0.468199704465557	AKT Phenotype	tumor	0	LumA
TCGA-A2-A0CV-01A-31R-A115-07	-1.04742421073725	-1.43262142668025	1.40849558238532	-0.569727350281848	0.0289771974052935	0.247381772319041	0.115278233943235	0.440274707462801	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0CW-01A-21R-A115-07	1.25197690192857	1.4170514368115	-0.961091988966913	-0.948897200011414	0.679095522966175	-0.905020220168052	-0.762276719679974	-1.42890206977488	AKT Phenotype	tumor	-2	LumB
TCGA-A2-A0CX-01A-21R-A00Z-07	0.699327035814351	0.824043046657159	0.0225573207200607	1.48042626867937	-0.540548951060826	0.0386456092216118	0.00517571470961342	0.0330304086244068	AKT Phenotype	tumor	-11	Her2
TCGA-A2-A0CY-01A-12R-A034-07	0.571007226295028	0.490455125076352	-1.17308987893173	0.241885055430521	-0.228136156224151	0.486418745336263	0.316592372238849	-1.05072795748428	AKT Phenotype	tumor	0	Her2
TCGA-A2-A0CZ-01A-11R-A034-07	-1.02879253035241	-1.25620966767076	1.43618711667149	0.733975443816549	-0.198032981060465	0.455405070151884	0.43037123445015	0.865730774298386	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0D0-01A-11R-A00Z-07	-2.13726521840792	2.2834442303431	0.0267856552668674	-0.178108096754133	-2.04185162021272	1.70758233386147	1.72471471674369	-0.548251275086858	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0D1-01A-11R-A034-07	1.29211468644558	0.347926425736884	-1.10677980918282	1.77558844083731	-0.496223200236612	-1.04949464470023	-0.775139480390429	-1.1283688768934	AKT Phenotype	tumor	-2	Her2
TCGA-A2-A0D2-01A-21R-A034-07	-2.02375517727525	2.0972189611939	0.417927437259858	0.428405351593971	-1.99649821132812	1.40457798434988	1.73197723247361	0.92538880821637	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0D3-01A-11R-A115-07	-0.0924746222339391	-0.872356668869376	0.102874868267832	1.15880488627332	0.322317004129022	-0.72308923944263	-0.731418688958465	-1.1268842694638	AKT Phenotype	tumor	-5	LumA
TCGA-A2-A0D4-01A-11R-A00Z-07	1.26532302444902	0.685595538684208	-0.824657115758277	1.51366577450087	1.19837810480348	-1.07973593906838	-1.08588507931922	-1.37924322806636	AKT Phenotype	tumor	-10	LumB
TCGA-A2-A0EM-01A-11R-A034-07	1.01369277933265	-0.640430448220793	-0.771414187107701	1.08962250820348	0.84224191381496	-0.74291421309233	-0.950906360809063	-0.347852700044831	AKT Phenotype	tumor	-12	LumA
TCGA-A2-A0EN-01A-13R-A084-07	0.0635192657442265	-1.13769861879746	1.09989193453608	-1.99038835369462	-0.0842702105373096	0.0197988164805767	-0.0883769105110591	1.17300837537646	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0EO-01A-11R-A034-07	-0.398745836393327	-1.06807161746354	0.78390634719059	1.37944342378195	0.376520814197166	0.0170422591259081	-0.0936466432312944	0.361039206632631	AKT Phenotype	tumor	-5	LumA
TCGA-A2-A0EQ-01A-11R-A034-07	0.415730827673909	1.00458396694435	-0.25805959719084	0.914558109900614	0.0659520903200445	-0.33315044685507	-0.0660235113100685	0.225378307123623	AKT Phenotype	tumor	-2	Her2
TCGA-A2-A0ER-01A-21R-A034-07	0.775752720458823	-0.900320522669088	-0.722891415074901	1.11770245257809	1.32466286131553	-1.21273485393692	-1.17510917219645	-1.10223052865565	AKT Phenotype	tumor	-10	LumB
TCGA-A2-A0ES-01A-11R-A115-07	-1.49324367239331	-1.73682605640867	1.93960508101505	-0.0561057077631863	0.188337201980823	0.454308793612609	0.339471918744778	1.2127286398707	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0ET-01A-31R-A034-07	1.28029239344177	-0.407040023309924	-1.29610931995466	-0.173969759205036	1.31069311412696	-1.18486212573041	-1.17883174941033	-1.20586036117144	AKT Phenotype	tumor	-10	LumA
TCGA-A2-A0EU-01A-22R-A056-07	-0.259744477268974	0.171213428662227	-0.345763542990993	0.355121811149042	1.1459203828475	0.192042954187867	0.0546220922729612	-0.214909273459411	AKT Phenotype	tumor	-10	LumA
TCGA-A2-A0EV-01A-11R-A034-07	0.371628250301015	-0.450594688515808	0.0877368515821796	-0.317429442308167	0.83866224116434	-0.625339866840229	-0.635447345106452	0.0377975116966006	AKT Phenotype	tumor	0	LumA
TCGA-A2-A0EW-01A-21R-A115-07	-1.19710692923452	-1.61350504390474	1.9209226525561	0.067989006302982	0.160350767140161	0.574282841675477	0.441754720942084	1.25474704691317	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0EX-01A-21R-A034-07	0.69806238927874	-0.722418150262477	0.209907963046327	1.70083542525347	0.153884022494376	-0.624793079159278	-0.683070131953209	-0.330438102341479	AKT Phenotype	tumor	-5	LumA
TCGA-A2-A0EY-01A-11R-A034-07	0.55658013461363	-0.207057901939907	-0.623621089558835	1.05855597007376	-0.0208400982604981	-0.405419979702355	-0.27324534690793	-0.25135221430635	AKT Phenotype	tumor	-2	LumB
TCGA-A2-A0ST-01A-12R-A084-07	-2.12890670063943	0.511031936980509	0.51425884772197	-1.22865906842644	-1.70259389369609	1.85906529634704	2.03221885045232	1.66111568352005	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0SU-01A-11R-A084-07	0.348979938809896	-0.626632258787404	0.329124837405857	1.44186828635973	0.713798792575219	-0.606398688803293	-0.526154365841887	-0.21933314950068	AKT Phenotype	tumor	0	LumA
TCGA-A2-A0SV-01A-11R-A084-07	0.126775441841901	1.18050459985592	0.0924903937273149	-0.726806705077112	0.0746499583459404	-0.651329270259123	-0.588004913466589	-0.178297551850154	EGFR Phenotype	tumor	-2	LumB
TCGA-A2-A0SW-01A-11R-A084-07	0.49707225068698	1.04803074716213	-0.46864342337148	-1.16391942697759	0.292601337154819	-0.485349607226658	-0.385446962440397	0.220454338618719	EGFR Phenotype	tumor	-2	LumB
TCGA-A2-A0SX-01A-12R-A084-07	-1.296080420783	0.394408503661371	1.03789475420843	-1.15855425695601	-1.99758974054688	1.57318544471782	1.84336212924314	1.7562522943602	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0SY-01A-31R-A084-07	0.14205170072086	-0.838051878611667	1.01779356294052	0.955770310292438	0.379626517051626	-0.105125417809095	-0.184241125804917	0.135756962033075	AKT Phenotype	tumor	-5	LumA
TCGA-A2-A0T0-01A-22R-A084-07	-1.78161458246904	2.12843084118767	-1.15865420299103	-1.77782510577164	-1.9815249170025	1.64035522874533	1.53872479116514	0.121554169456543	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0T1-01A-21R-A084-07	-0.0309403610422556	0.125109747994991	0.215166148155726	-0.209328724922	-0.955245602447778	0.283499257833769	0.442230317880892	0.885707005995496	EGFR Phenotype	tumor	-11	Her2
TCGA-A2-A0T2-01A-11R-A084-07	0.468702766337953	0.884477880224227	-0.990156304154731	-1.47278882647468	-1.33275521542835	2.21110038849235	1.98438051533927	-0.238282369012512	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0T3-01A-21R-A115-07	-0.261762517404946	0.81193716864211	0.553490351865513	0.314212514357213	0.41669130478324	-0.721052684229558	-0.656026493965002	-0.549279680947204	AKT Phenotype	tumor	0	LumB
TCGA-A2-A0T4-01A-31R-A084-07	0.18519538832264	-0.308252159833868	0.804538098927484	-0.345347762852244	0.170451249091416	-0.162925776393177	-0.339155421311711	0.506757576078176	EGFR Phenotype	tumor	-5	LumB
TCGA-A2-A0T5-01A-21R-A084-07	-0.317667591235613	-0.0462892499207576	1.02966366193782	0.373293896806659	-0.278767559793808	-0.000335880481019899	-0.107734631490646	-0.213049538447785	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0T6-01A-11R-A084-07	-1.303951075895	-1.60193715344508	1.60685763896471	-0.418557743009777	0.347925513165792	0.0272906780889867	-0.129251321238048	1.46058635175131	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0T7-01A-21R-A084-07	-1.47267394861088	-0.481974057666857	1.50378570392106	-0.0833164537745019	-0.229404527521859	0.298194960704936	0.407853803866985	0.914074140719457	EGFR Phenotype	tumor	-3	LumA
TCGA-A2-A0YC-01A-11R-A109-07	0.55857210881484	-0.880227681478772	-0.446370341269121	-0.0344700480596245	0.829361331076872	-0.856923925095072	-0.892432897109196	-0.168104299270866	AKT Phenotype	tumor	-12	LumA
TCGA-A2-A0YD-01A-11R-A109-07	-1.22658219149313	-1.4984401505665	1.67568642145166	-0.760113271996823	0.0699012047788014	0.176373630837364	0.10549606116572	1.53138965255407	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0YE-01A-11R-A109-07	-0.0858347523417013	1.1629260380716	0.371834474621788	0.883622524319346	-1.71147851864298	1.50803285941446	1.43508372870323	0.255023212894565	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0YF-01A-21R-A109-07	0.839792160733851	-0.71591696113766	-0.871937777591416	0.0840179537601169	1.27486657211424	-0.813111143845829	-0.957276282425349	-0.217150930712521	AKT Phenotype	tumor	-12	LumA
TCGA-A2-A0YG-01A-21R-A109-07	0.858622054707958	0.715047933162726	-0.87648129341638	1.64183026484328	0.489144797494113	-1.02811780762128	-0.914534485174523	-0.801030187862677	AKT Phenotype	tumor	-2	LumB
TCGA-A2-A0YH-01A-11R-A109-07	0.946439359262156	0.219018725450657	-0.413873918243362	-1.17587667003433	0.41407558341031	-0.675188177518569	-0.570611905896162	0.276069214570075	AKT Phenotype	tumor	-2	LumB
TCGA-A2-A0YI-01A-31R-A10J-07	0.401190750524697	-1.45520966301039	0.85819721622568	-1.23652241014145	0.712180659721015	-0.309613260344678	-0.41076705170129	0.907676244363011	AKT Phenotype	tumor	-12	LumA
TCGA-A2-A0YJ-01A-11R-A109-07	0.153657096033671	1.53488908654096	0.264209160921587	-0.12825071911861	-1.93596863864465	2.33933570105848	2.16767736398321	0.249446585961156	EGFR Phenotype	tumor	-13	Basal
TCGA-A2-A0YK-01A-22R-A109-07	-1.82260022323624	-1.41150893875221	1.88542897645778	-0.817995967883527	-0.250256445260294	1.40275339945115	1.29076829522488	1.83569786505707	EGFR Phenotype	tumor	-5	Normal
TCGA-A2-A0YL-01A-21R-A109-07	-1.6723190882773	-0.686660722411839	1.77500971636036	1.11314121626897	-0.212005690747049	0.383498586457222	0.406679407048212	1.02160573042989	EGFR Phenotype	tumor	-5	LumA
TCGA-A2-A0YM-01A-11R-A109-07	-2.14057562520654	1.71641055579025	0.979741856698053	-0.817381046769911	-1.89342330056283	2.28618884353983	2.24654161251588	1.37132605141286	EGFR Phenotype	tumor	-13	Basal
TCGA-A7-A0CD-01A-11R-A00Z-07	1.16927053043134	-0.221606546073312	-1.24342536255749	1.2866183733725	0.863313500968112	-1.18529892910847	-1.19484006503161	-1.19557436010869	AKT Phenotype	tumor	-10	LumA
TCGA-A7-A0CE-01A-11R-A00Z-07	-0.968427696253546	1.59882193865997	0.51712156216098	0.875716514627889	-1.58508612221245	1.45201273652834	1.38173820732204	0.228894474303021	EGFR Phenotype	tumor	-13	Basal
TCGA-A7-A0CG-01A-12R-A056-07	-0.132836314081716	-1.21283567140706	1.50346873047502	0.212428745502099	0.14435666249547	0.313013506730577	0.188475857630497	0.96097204500352	EGFR Phenotype	tumor	-5	LumA
TCGA-A7-A0CH-01A-21R-A00Z-07	0.170101578580573	-1.07843082026368	-0.0186396283346886	0.83066632669816	1.0648049045741	-0.443122183226516	-0.663352648632818	-0.379205698715122	AKT Phenotype	tumor	-12	LumA
TCGA-A7-A0CJ-01A-21R-A00Z-07	0.906599631244606	1.36528113352971	-1.06003226411967	-1.30877216096247	0.674498099625586	-0.707986278538967	-0.794754833747579	-1.34039706630887	AKT Phenotype	tumor	-6	LumB
TCGA-A7-A0D9-01A-31R-A056-07	1.06002495149148	-0.521543160420828	-0.300994405530233	1.53942439378781	0.553311869444602	0.244749800436719	0.0513077471700467	-0.213245501796032	AKT Phenotype	tumor	-3	LumA
TCGA-A7-A0DA-01A-31R-A115-07	-1.03802736888464	0.756288539045558	-0.066586204608276	-0.719876175713858	-1.82639871061694	2.2570462189619	2.2427721444238	0.971508062687435	EGFR Phenotype	tumor	-13	Basal
TCGA-A7-A0DB-01A-11R-A00Z-07	0.742529079184088	-0.746908488645414	-0.607286121365259	0.658550641565122	0.504414300527472	-0.389215756969578	-0.614111279862939	-0.459477225215493	AKT Phenotype	tumor	-5	LumA
TCGA-A7-A13D-01A-13R-A12P-07	-0.453218875972148	0.994810347620303	-1.21352391590602	0.803379330431134	-1.94255450709151	1.67786394533624	1.62282875133655	0.279298391284127	EGFR Phenotype	tumor	-13	Basal
