	ER	PR	HER2
184A1	Unavailable	Unavailable	Unavailable
184B5	Unavailable	Unavailable	Unavailable
21MT1	Unavailable	Unavailable	Unavailable
21MT2	Unavailable	Unavailable	Unavailable
21NT	Unavailable	Unavailable	Unavailable
21PT	Unavailable	Unavailable	Unavailable
600MPE	Positive	Negative	Negative
AU565	Negative	Negative	Positive
BT474	Positive	Positive	Positive
BT483	Positive	Positive	Negative
BT549	Negative	Negative	Negative
CAMA1	Positive	Negative	Negative
EFM192A	Unavailable	Unavailable	Unavailable
EFM192B	Unavailable	Unavailable	Unavailable
EFM192C	Unavailable	Unavailable	Unavailable
HCC1143	Negative	Negative	Negative
HCC1395	Negative	Negative	Negative
HCC1419	Negative	Negative	Positive
HCC1428	Positive	Positive	Negative
HCC1569	Negative	Negative	Positive
HCC1599	Negative	Negative	Negative
HCC1806	Negative	Negative	Negative
HCC1937	Negative	Negative	Negative
HCC1954	Negative	Negative	Positive
HCC202	Negative	Negative	Positive
HCC2218	Negative	Negative	Positive
HCC3153	Negative	Negative	Negative
HCC38	Negative	Negative	Negative
HCC70	Negative	Negative	Negative
HS578T	Negative	Negative	Negative
JIMT1	Negative	Negative	Positive
LY2	Positive	Negative	Negative
MB157	Negative	Negative	Negative
MCF10A	Negative	Negative	Negative
MCF10F	Negative	Negative	Negative
MCF12A	Negative	Negative	Negative
MCF7	Positive	Positive	Negative
MDAMB134VI	Positive	Negative	Negative
MDAMB175	Positive	Negative	Negative
MDAMB231	Negative	Negative	Negative
MDAMB361	Positive	Negative	Positive
MX1	Unavailable	Unavailable	Unavailable
SKBR3	Negative	Negative	Positive
SUM1315	Negative	Negative	Negative
SUM149PT	Negative	Negative	Negative
SUM225CWN	Negative	Negative	Positive
SUM229PE	Unavailable	Unavailable	Unavailable
SUM52PE	Positive	Negative	Unavailable
T47D	Positive	Positive	Negative
T47D.Kbluc	Positive	Positive	Negative
UACC812	Unavailable	Negative	Positive
UACC893	Unavailable	Unavailable	Unavailable
ZR751	Positive	Negative	Negative
ZR7530	Positive	Negative	Positive
ZR75B	Negative	Negative	Negative
