sample	intrinsicsubtype
184A1	Normal-like
184B5	Normal-like
21MT1	HER2-Basal
21MT2	HER2-Basal
21NT	HER2-Basal
21PT	HER2-Basal
600MPE	Luminal
AU565	HER2-Luminal
BT474	HER2-Luminal
BT483	Luminal
BT549	Claudin-low
CAMA1	Luminal
EFM192A	HER2-Luminal
EFM192B	HER2-Luminal
EFM192C	HER2-Luminal
HCC1143	Basal
HCC1395	Claudin-low
HCC1419	HER2-Luminal
HCC1428	Luminal
HCC1569	HER2-Basal
HCC1599	Basal
HCC1806	Basal
HCC1937	Basal
HCC1954	HER2-Basal
HCC202	HER2-Luminal
HCC2218	HER2-Luminal
HCC3153	Basal
HCC38	Claudin-low
HCC70	Basal
HS578T	Claudin-low
JIMT1	HER2-Basal
LY2	Luminal
MB157	Basal
MCF10A	Normal-like
MCF10F	Normal-like
MCF12A	Normal-like
MCF7	Luminal
MDAMB134VI	Luminal
MDAMB175	Unavailable
MDAMB231	Claudin-low
MDAMB361	HER2-Luminal
MX1	Basal
SKBR3	HER2-Luminal
SUM1315	Unavailable
SUM149PT	Basal
SUM225CWN	HER2-Luminal
SUM229PE	Basal
SUM52PE	Luminal
T47D	Luminal
T47D Kbluc	Unavailable
UACC812	HER2-Luminal
UACC893	HER2-Luminal
ZR751	Luminal
ZR7530	HER2-Luminal
ZR75B	Luminal
